pup,bout,ioi
1,1,43.5
1,1,43.9
1,1,23.400000000000002
1,1,36.6
1,2,41.300000000000004
1,2,40.099999999999994
1,2,38.4
1,3,44.8
1,3,44.8
1,3,44.8
1,3,24.299999999999997
1,4,39.6
1,4,40.9
1,4,41.8
1,5,40.099999999999994
1,5,39.6
1,5,39.199999999999996
1,6,42.6
1,6,43.9
1,6,48.2
1,7,41.8
1,7,43.9
1,7,40.5
1,7,40.5
1,8,45.199999999999996
1,8,41.300000000000004
1,8,42.6
1,8,46.0
1,9,41.300000000000004
1,9,40.099999999999994
1,9,41.8
1,10,37.900000000000006
1,10,38.800000000000004
1,10,37.5
1,11,41.8
1,11,38.800000000000004
1,11,42.6
2,1,41.8
2,1,37.900000000000006
2,1,35.4
2,2,36.2
2,2,38.800000000000004
2,2,35.8
2,3,47.300000000000004
2,3,41.300000000000004
2,3,40.099999999999994
2,3,40.5
2,3,46.5
2,4,35.4
2,4,40.5
2,4,37.5
2,4,34.9
2,5,42.2
2,5,38.4
2,5,36.6
2,6,43.0
2,6,38.800000000000004
2,6,40.099999999999994
2,6,54.6
2,7,41.300000000000004
2,7,42.2
2,7,42.2
2,7,40.5
2,7,17.0
2,7,36.2
2,7,18.700000000000003
2,8,50.3
2,8,43.5
2,8,42.2
2,8,40.5
3,1,50.3
3,1,47.7
3,1,21.3
3,2,53.699999999999996
3,2,20.400000000000002
3,2,51.2
3,2,17.9
3,2,20.400000000000002
3,3,73.3
3,3,77.60000000000001
3,3,97.19999999999999
3,3,75.89999999999999
3,4,63.1
3,4,55.4
3,4,57.1
3,4,23.8
3,5,58.0
3,5,52.0
3,5,50.3
3,5,18.700000000000003
3,6,55.4
3,6,56.300000000000004
3,6,18.700000000000003
3,6,74.2
3,7,57.1
3,7,51.2
3,7,53.699999999999996
3,7,20.400000000000002
3,8,52.0
3,8,48.599999999999994
3,8,24.7
3,8,48.599999999999994
3,8,49.4
3,9,56.300000000000004
3,9,49.4
3,10,52.0
3,10,55.4
3,10,52.900000000000006
4,1,55.4
4,1,55.4
4,1,58.0
4,2,52.900000000000006
4,2,51.2
4,2,20.400000000000002
4,2,44.3
4,3,20.400000000000002
4,3,72.5
4,3,70.8
4,3,48.599999999999994
4,3,46.9
4,3,67.4
4,4,58.0
4,4,13.6
4,4,46.9
4,4,46.9
4,4,48.599999999999994
4,4,20.400000000000002
4,5,47.7
4,5,50.3
4,5,46.9
4,5,46.9
4,5,19.599999999999998
4,6,51.2
4,6,49.4
4,6,46.9
4,6,48.599999999999994
4,6,10.200000000000001
4,7,51.2
4,7,48.599999999999994
4,7,46.9
4,8,48.599999999999994
4,8,49.4
4,8,49.4
4,8,47.7
4,8,17.9
4,9,52.900000000000006
4,9,23.0
4,9,46.0
4,9,11.0
4,9,11.9
4,9,46.9
4,9,23.0
4,9,43.5
4,9,47.7
4,9,47.7
4,9,19.599999999999998
4,10,47.7
4,10,47.7
4,10,49.4
4,10,21.3
5,1,51.2
5,1,44.3
5,1,23.0
5,2,18.700000000000003
5,2,41.8
5,2,43.5
5,2,51.2
5,2,21.3
5,3,43.5
5,3,44.3
5,3,47.7
5,3,21.3
5,4,52.900000000000006
5,4,46.0
5,4,54.6
5,5,53.699999999999996
5,5,41.8
5,5,41.8
5,6,42.6
5,6,50.3
5,6,48.599999999999994
5,7,52.0
5,7,73.3
5,8,49.4
5,8,45.199999999999996
5,8,49.4
5,8,46.9
5,8,47.7
5,9,46.9
5,9,40.9
5,9,20.400000000000002
5,10,43.5
5,10,39.199999999999996
5,10,21.3
