phrase,word,syllable_stress,syllable_duration
1,Good,S,110
1,morning,S,189
1,morning,U,199
2,more,S,160
2,news,S,330
2,about,U,60
2,about,S,149
2,the,U,99
2,Reverend,S,160
2,Reverend,U,209
2,Sun,S,290
2,Myung,S,290
2,Moon,S,500
2,founder,S,259
2,founder,U,80
2,of,U,49
2,the,U,169
2,Unification,S,140
2,Unification,U,80
2,Unification,U,139
2,Unification,S,160
2,Unification,U,259
2,Church,S,360
2,who's,S,259
2,currently,S,110
2,currently,U,160
2,currently,U,89
2,in,U,149
2,jail,S,280
2,for,U,279
2,tax,S,290
2,evasion,U,60
2,evasion,S,179
2,evasion,U,259
3,he,U,70
3,was,U,119
3,awarded,U,100
3,awarded,S,139
3,an,U,189
3,honorary,S,80
3,honorary,U,49
3,honorary,U,50
3,honorary,U,230
3,degree,U,109
3,degree,S,290
3,last,S,269
3,week,S,139
3,by,U,160
3,the,U,110
3,Roman,S,139
3,Roman,U,160
3,Catholic,S,220
3,Catholic,U,89
3,University,S,150
3,University,U,59
3,University,S,169
3,University,U,210
3,University,U,29
3,of,U,40
3,la,S,240
3,Plata,S,169
3,Plata,U,230
3,in,U,139
3,Buenos,S,179
3,Buenos,U,110
3,Aires,S,349
3,Argentina,S,169
3,Argentina,U,210
3,Argentina,S,149
3,Argentina,U,230
4,in,U,89
4,announcing,U,49
4,announcing,S,250
4,announcing,U,270
4,the,U,39
4,award,U,30
4,award,S,320
4,in,U,69
4,New,S,220
4,York,S,419
4,the,U,50
4,rector,S,169
4,rector,U,120
4,of,U,120
4,the,U,49
4,university,S,160
4,university,U,89
4,university,U,220
4,university,U,49
4,Dr,S,230
4,Dr,U,89
4,Nicholas,S,89
4,Nicholas,U,289
4,Argentato,S,160
4,Argentato,U,219
4,Argentato,S,179
4,Argentato,U,220
4,described,U,129
4,described,S,280
4,Mr,S,170
4,Mr,U,119
4,Moon,S,350
4,as,U,210
4,a,U,209
4,prophet,S,110
4,prophet,U,119
4,of,U,150
4,our,U,179
4,our,U,59
4,time,S,490
5,next,S,289
5,week,S,110
5,a,U,119
5,delegation,S,60
5,delegation,U,160
5,delegation,S,160
5,delegation,U,169
5,of,U,60
5,nine,S,369
5,Protestant,S,120
5,Protestant,U,70
5,Protestant,U,250
5,ministers,S,50
5,ministers,U,99
5,ministers,U,220
5,from,S,279
5,Argentina,S,150
5,Argentina,U,219
5,Argentina,S,129
5,Argentina,U,140
5,visits,S,129
5,visits,U,250
5,the,U,150
5,Autumn,S,149
5,Autumn,U,179
5,Assembly,U,60
5,Assembly,S,259
5,Assembly,U,150
5,of,U,39
5,the,U,120
5,British,S,79
5,British,U,190
5,Council,S,189
5,Council,U,130
5,of,U,139
5,Churches,S,240
5,Churches,U,419
6,it's,U,169
6,meant,S,210
6,as,U,149
6,a,U,50
6,symbol,S,250
6,symbol,U,60
6,of,U,119
6,reconciliation,S,79
6,reconciliation,U,179
6,reconciliation,S,170
6,reconciliation,U,130
6,reconciliation,S,100
6,reconciliation,U,209
6,between,U,70
6,between,S,250
6,Christians,S,219
6,Christians,U,289
6,following,S,89
6,following,U,90
6,following,U,129
6,the,U,80
6,Falklands,S,129
6,Falklands,U,370
6,war,S,409
7,Protestants,S,300
7,Protestants,U,19
7,Protestants,U,350
7,however,U,170
7,however,S,79
7,however,U,140
7,are,S,179
7,a,U,149
7,tiny,S,170
7,tiny,U,119
7,minority,U,100
7,minority,S,149
7,minority,U,140
7,minority,U,130
7,in,U,60
7,Argentina,S,140
7,and,U,109
7,the,U,89
7,delegation,S,109
7,delegation,U,90
7,delegation,S,140
7,delegation,U,229
7,won't,S,250
7,be,U,60
7,including,U,159
7,including,S,140
7,including,U,120
7,Roman,S,210
7,Roman,U,79
7,Catholic,S,250
7,Catholic,U,240
7,assembly,U,39
7,assembly,S,199
7,assembly,U,70
7,will,U,170
7,also,S,30
7,also,U,179
7,be,U,100
7,discussing,U,79
7,discussing,S,219
7,discussing,U,280
7,U,S,199
7,K,S,210
7,immigration,S,79
7,immigration,U,120
7,immigration,S,179
7,immigration,U,269
7,laws,S,310
