codanum,ioi_i,ioi
DSWP11,1,0.063
DSWP11,2,0.062
DSWP11,3,0.083
DSWP12,1,0.09
DSWP12,2,0.077
DSWP12,3,0.076
DSWP12,4,0.096
DSWP13,1,0.062
DSWP13,2,0.084
DSWP13,3,0.063
DSWP13,4,0.086
DSWP14,1,0.062
DSWP14,2,0.063
DSWP14,3,0.062
DSWP14,4,0.083
DSWP15,1,0.067
DSWP15,2,0.068
DSWP15,3,0.062
DSWP15,4,0.061
DSWP15,5,0.065
DSWP16,1,0.073
DSWP16,2,0.072
DSWP16,3,0.063
DSWP16,4,0.065
DSWP16,5,0.086
DSWP17,1,0.081
DSWP17,2,0.079
DSWP17,3,0.076
DSWP17,4,0.063
DSWP17,5,0.139
DSWP18,1,0.07
DSWP18,2,0.058
DSWP18,3,0.062
DSWP18,4,0.067
DSWP18,5,0.09
DSWP19,1,0.064
DSWP19,2,0.066
DSWP19,3,0.079
DSWP19,4,0.076
DSWP19,5,0.1
DSWP20,1,0.21
DSWP20,2,0.189
DSWP20,3,0.167
DSWP20,4,0.126
DSWP20,5,0.148
DSWP21,1,0.08
DSWP21,2,0.073
DSWP21,3,0.062
DSWP21,4,0.064
DSWP21,5,0.077
DSWP22,1,0.249
DSWP22,2,0.187
DSWP22,3,0.125
DSWP22,4,0.125
DSWP22,5,0.125
DSWP23,1,0.05
DSWP23,2,0.058
DSWP23,3,0.063
DSWP23,4,0.06
DSWP23,5,0.063
DSWP23,6,0.098
DSWP24,1,0.234
DSWP24,2,0.174
DSWP24,3,0.124
DSWP24,4,0.115
DSWP24,5,0.114
DSWP24,6,0.137
DSWP25,1,0.224
DSWP25,2,0.202
DSWP25,3,0.138
DSWP25,4,0.118
DSWP25,5,0.117
DSWP25,6,0.155
DSWP26,1,0.215
DSWP26,2,0.189
DSWP26,3,0.142
DSWP26,4,0.11
DSWP26,5,0.118
DSWP26,6,0.133
DSWP27,1,0.238
DSWP27,2,0.177
DSWP27,3,0.124
DSWP27,4,0.137
DSWP27,5,0.106
DSWP27,6,0.143
DSWP28,1,0.231
DSWP28,2,0.211
DSWP28,3,0.127
DSWP28,4,0.083
DSWP28,5,0.105
DSWP28,6,0.127
DSWP29,1,0.251
DSWP29,2,0.217
DSWP29,3,0.125
DSWP29,4,0.127
DSWP29,5,0.107
DSWP29,6,0.148
DSWP30,1,0.247
DSWP30,2,0.222
DSWP30,3,0.123
DSWP30,4,0.097
DSWP30,5,0.116
DSWP30,6,0.167
DSWP31,1,0.046
DSWP31,2,0.056
DSWP31,3,0.056
DSWP31,4,0.055
DSWP31,5,0.058
DSWP31,6,0.072
DSWP32,1,0.042
DSWP32,2,0.057
DSWP32,3,0.056
DSWP32,4,0.058
DSWP32,5,0.056
DSWP32,6,0.068
DSWP33,1,0.066
DSWP33,2,0.058
DSWP33,3,0.054
DSWP33,4,0.059
DSWP33,5,0.056
DSWP33,6,0.064
DSWP34,1,0.06
DSWP34,2,0.065
DSWP34,3,0.056
DSWP34,4,0.051
DSWP34,5,0.049
DSWP34,6,0.083
DSWP35,1,0.188
DSWP35,2,0.133
DSWP35,3,0.117
DSWP35,4,0.105
DSWP35,5,0.097
DSWP35,6,0.1
DSWP35,7,0.128
DSWP36,1,0.044
DSWP36,2,0.05
DSWP36,3,0.051
DSWP36,4,0.051
DSWP36,5,0.048
DSWP36,6,0.055
DSWP36,7,0.068
DSWP37,1,0.246
DSWP37,2,0.183
DSWP37,3,0.131
DSWP37,4,0.096
DSWP37,5,0.101
DSWP37,6,0.122
DSWP37,7,0.182
DSWP38,1,0.163
DSWP38,2,0.149
DSWP38,3,0.115
DSWP38,4,0.092
DSWP38,5,0.099
DSWP38,6,0.105
DSWP38,7,0.101
DSWP38,8,0.138
DSWP39,1,0.168
DSWP39,2,0.187
DSWP39,3,0.118
DSWP39,4,0.09
DSWP39,5,0.107
DSWP39,6,0.113
DSWP39,7,0.096
DSWP39,8,0.2
DSWP40,1,0.097
DSWP40,2,0.071
DSWP40,3,0.076
DSWP40,4,0.082
DSWP41,1,0.067
DSWP41,2,0.067
DSWP41,3,0.072
DSWP41,4,0.06
DSWP41,5,0.086
